,precision,recall,f1-score,support
Category 1,0.42857142857142855,0.05084745762711865,0.09090909090909091,59.0
Category 2,0.5492227979274611,0.6162790697674418,0.5808219178082191,172.0
Category 3,0.5335968379446641,0.6818181818181818,0.598669623059867,198.0
Category 4,0.3,0.08823529411764706,0.13636363636363635,34.0
accuracy,0.5334773218142549,0.5334773218142549,0.5334773218142549,0.5334773218142549
macro avg,0.45284776611088845,0.3592950008325973,0.35169106703520336,463.0
weighted avg,0.5088643832446675,0.5334773218142549,0.49338651237336356,463.0
