Order,Predictor,Importance
1,Closeness centrality,0.106
2,Degree assortativity,0.097
3,Average degree,0.096
4,Average clustering,0.087
5,Density,0.086
6,Cites count,0.084
7,Clustering coefficient,0.084
8,H-index assortativity,0.075
9,Publications assortativity,0.074
10,Cites assortativity,0.074
11,Publications count,0.073
12,Core number,0.066
