Order,Predictor,Importance
1,Average degree,0.118
2,Degree assortativity,0.105
3,Average clustering,0.098
4,Closeness centrality,0.098
5,Clustering coefficient,0.097
6,Density,0.087
7,H-index assortativity,0.083
8,Cites count,0.083
9,Cites assortativity,0.08
10,Publications assortativity,0.079
11,Publications count,0.072
