,precision,recall,f1-score,support
f,0.6058394160583942,0.41708542713567837,0.49404761904761907,199.0
m,0.6441717791411042,0.7954545454545454,0.711864406779661,264.0
accuracy,0.6328293736501079,0.6328293736501079,0.6328293736501079,0.6328293736501079
macro avg,0.6250055975997493,0.6062699862951119,0.60295601291364,463.0
weighted avg,0.627696314230825,0.6328293736501079,0.6182455282512024,463.0
